id,controller,type,description,related_hazards,context
UCA-Human-ActivateParkPilotScreen-not_providing-1,Human,not_provided,"Human does not activate the ParkPilot screen when intending to park, leading to the system not assisting in parking.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Driver attempts to park but fails to activate the ParkPilot screen, resulting in manual parking without assistance and potential improper parking or system unavailability.'}]}"
UCA-Human-ActivateParkPilotScreen-providing-1,Human,provided,"Human activates the ParkPilot screen outside the Operational Design Domain (ODD), causing the system to attempt parking in unsafe or unsupported conditions.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Driver activates ParkPilot screen in an environment or situation not supported by the system (e.g., high-speed road, restricted area), leading to system misbehavior or unsafe operation.'}]}"
UCA-Human-ActivateParkPilotScreen-timing-1,Human,too_early_too_late,Human activates the ParkPilot screen too early before the vehicle is in a suitable position or too late after missing the parking opportunity.,,"{'process_model_variables': [{'name': 'Context', 'state': 'Driver activates ParkPilot screen before the vehicle is near valid parking spaces or after passing the parking spot, causing the system to fail to identify or select the correct parking space.'}]}"
UCA-Human-ActivateParkPilotScreen-duration-1,Human,stopped_too_soon_applied_too_long,"Human keeps the ParkPilot screen activated for too long without proceeding to select a parking space or canceling, causing system confusion or timeout.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Driver activates the ParkPilot screen but delays interaction, causing the system to remain in an active but idle state, potentially leading to system unavailability or excessive parking time.'}]}"
UCA-Human-Cancel-not_providing-1,Human,not_provided,"Human does not provide the Cancel control action when the vehicle violates minimum distance to objects, leading to continued unsafe proximity.",,"{'process_model_variables': [{'name': 'Context', 'state': 'During the parking maneuver, the vehicle approaches an obstacle closer than the minimum safe distance, but the human fails to cancel the parking process to stop the vehicle.'}]}"
UCA-Human-Cancel-not_providing-2,Human,not_provided,"Human continuously provides the Cancel control action even when not required, preventing normal system operation.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The autonomous parking system activates in an environment or condition outside its safe operational limits, and the human does not cancel the operation promptly.'}]}"
UCA-Human-Cancel-not_providing-3,Human,not_provided,Human does not provide the Cancel control action when the vehicle is parking in the wrong space or improperly within the desired parking space.,,"{'process_model_variables': [{'name': 'Context', 'state': 'The vehicle begins or continues parking in an incorrect or undesired parking space, and the human fails to cancel the parking maneuver to correct the error.'}]}"
UCA-Human-Cancel-not_providing-4,Human,not_provided,Human does not provide the Cancel control action when the vehicle exhibits too severe acceleration or deceleration during parking.,,"{'process_model_variables': [{'name': 'Context', 'state': 'During the parking process, the vehicle accelerates or decelerates beyond safe limits, but the human does not intervene by canceling the maneuver.'}]}"
UCA-Human-Cancel-not_providing-5,Human,not_provided,Human does not provide the Cancel control action when the vehicle is stopped in a location where passengers cannot safely exit.,,"{'process_model_variables': [{'name': 'Context', 'state': 'The vehicle completes parking but stops in a location that blocks passenger egress, and the human fails to cancel or adjust the maneuver.'}]}"
UCA-Human-Cancel-providing-1,Human,provided,"Human provides the Cancel control action unnecessarily during a valid parking maneuver, causing premature termination.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The parking process is proceeding correctly within operational limits, but the human cancels the maneuver, causing incomplete parking or system unavailability.'}]}"
